name,age,country,year,Date_Given,sports,gold_medal,silver_medal,brone_medal,total_medal
MichaelPhelps,23.0,United States,2008,2008-08-24,Swimming,8,0,0,8
MichaelPhelps,19.0,United States,2004,2004-08-29,Swimming,6,0,2,8
MichaelPhelps,27.0,United States,2012,2012-08-12,Swimming,4,2,0,6
NatalieCoughlin,25.0,United States,2008,2008-08-24,Swimming,1,2,3,6
AlekseyNemov,24.0,Russia,2000,2000-10-01,Gymnastics,2,1,3,6
AliciaCoutts,24.0,Australia,2012,2012-08-12,Swimming,1,3,1,5
MissyFranklin,17.0,United States,2012,2012-08-12,Swimming,4,0,1,5
RyanLochte,27.0,United States,2012,2012-08-12,Swimming,2,2,1,5
AllisonSchmitt,22.0,United States,2012,2012-08-12,Swimming,3,1,1,5
NatalieCoughlin,21.0,United States,2004,2004-08-29,Swimming,2,2,1,5
IanThorpe,17.0,Australia,2000,2000-10-01,Swimming,3,2,0,5
DaraTorres,33.0,United States,2000,2000-10-01,Swimming,2,0,3,5
CindyKlassen,26.0,Canada,2006,2006-02-26,Speed Skating,1,2,2,5
NastiaLiukin,18.0,United States,2008,2008-08-24,Gymnastics,1,3,1,5
MaritBjrgen,29.0,Norway,2010,2010-02-28,Cross Country Skiing,3,1,1,5
SunYang,20.0,China,2012,2012-08-12,Swimming,2,1,1,4
KirstyCoventry,24.0,Zimbabwe,2008,2008-08-24,Swimming,1,3,0,4
LibbyLentonTrickett,23.0,Australia,2008,2008-08-24,Swimming,2,1,1,4
RyanLochte,24.0,United States,2008,2008-08-24,Swimming,2,0,2,4
IngedeBruijn,30.0,Netherlands,2004,2004-08-29,Swimming,1,1,2,4
PetriaThomas,28.0,Australia,2004,2004-08-29,Swimming,3,1,0,4
IanThorpe,21.0,Australia,2004,2004-08-29,Swimming,2,1,1,4
IngedeBruijn,27.0,Netherlands,2000,2000-10-01,Swimming,3,1,0,4
GaryHallJr,25.0,United States,2000,2000-10-01,Swimming,2,1,1,4
MichaelKlim,23.0,Australia,2000,2000-10-01,Swimming,2,2,0,4
SusieONeill,27.0,Australia,2000,2000-10-01,Swimming,1,3,0,4
JennyThompson,27.0,United States,2000,2000-10-01,Swimming,3,0,1,4
PietervandenHoogenband,22.0,Netherlands,2000,2000-10-01,Swimming,2,0,2,4
AnHyeonSu,20.0,South Korea,2006,2006-02-26,Short-Track Speed Skating,3,0,1,4
AliyaMustafina,17.0,Russia,2012,2012-08-12,Gymnastics,1,1,2,4
ShawnJohnson,16.0,United States,2008,2008-08-24,Gymnastics,1,3,0,4
DmitrySautin,26.0,Russia,2000,2000-10-01,Diving,1,1,2,4
LeontienZijlaardvanMoorsel,30.0,Netherlands,2000,2000-10-01,Cycling,3,1,0,4
PetterNorthugJr,24.0,Norway,2010,2010-02-28,Cross Country Skiing,2,1,1,4
OleEinarBjrndalen,28.0,Norway,2002,2002-02-24,Biathlon,4,0,0,4
JanicaKostelic,20.0,Croatia,2002,2002-02-24,Alpine Skiing,3,1,0,4
NathanAdrian,23.0,United States,2012,2012-08-12,Swimming,2,1,0,3
YannickAgnel,20.0,France,2012,2012-08-12,Swimming,2,1,0,3
BrittanyElmslie,18.0,Australia,2012,2012-08-12,Swimming,1,2,0,3
MattGrevers,27.0,United States,2012,2012-08-12,Swimming,2,1,0,3
RyosukeIrie,22.0,Japan,2012,2012-08-12,Swimming,0,2,1,3
CullenJones,28.0,United States,2012,2012-08-12,Swimming,1,2,0,3
RanomiKromowidjojo,21.0,Netherlands,2012,2012-08-12,Swimming,2,1,0,3
CamilleMuffat,22.0,France,2012,2012-08-12,Swimming,1,1,1,3
MelSchlanger,25.0,Australia,2012,2012-08-12,Swimming,1,2,0,3
EmilySeebohm,20.0,Australia,2012,2012-08-12,Swimming,1,2,0,3
RebeccaSoni,25.0,United States,2012,2012-08-12,Swimming,2,1,0,3
SatomiSuzuki,21.0,Japan,2012,2012-08-12,Swimming,0,1,2,3
DanaVollmer,24.0,United States,2012,2012-08-12,Swimming,3,0,0,3
AlainBernard,25.0,France,2008,2008-08-24,Swimming,1,1,1,3
LszlCsehJr,22.0,Hungary,2008,2008-08-24,Swimming,0,3,0,3
MattGrevers,23.0,United States,2008,2008-08-24,Swimming,2,1,0,3
MargaretHoelzer,25.0,United States,2008,2008-08-24,Swimming,0,2,1,3
KatieHoff,19.0,United States,2008,2008-08-24,Swimming,0,1,2,3
LeiselJones,22.0,Australia,2008,2008-08-24,Swimming,2,1,0,3
KosukeKitajima,25.0,Japan,2008,2008-08-24,Swimming,2,0,1,3
AndrewLauterstein,21.0,Australia,2008,2008-08-24,Swimming,0,1,2,3
JasonLezak,32.0,United States,2008,2008-08-24,Swimming,2,0,1,3
PangJiaying,23.0,China,2008,2008-08-24,Swimming,0,1,2,3
AaronPeirsol,25.0,United States,2008,2008-08-24,Swimming,2,1,0,3
StephRice,20.0,Australia,2008,2008-08-24,Swimming,3,0,0,3
JessSchipper,21.0,Australia,2008,2008-08-24,Swimming,1,0,2,3
RebeccaSoni,21.0,United States,2008,2008-08-24,Swimming,1,2,0,3
EamonSullivan,22.0,Australia,2008,2008-08-24,Swimming,0,2,1,3
DaraTorres,41.0,United States,2008,2008-08-24,Swimming,0,3,0,3
AmandaBeard,22.0,United States,2004,2004-08-29,Swimming,1,2,0,3
AntjeBuschschulte,25.0,Germany,2004,2004-08-29,Swimming,0,0,3,3
KirstyCoventry,20.0,Zimbabwe,2004,2004-08-29,Swimming,1,1,1,3
IanCrocker,21.0,United States,2004,2004-08-29,Swimming,1,1,1,3
GrantHackett,24.0,Australia,2004,2004-08-29,Swimming,1,2,0,3
BrendanHansen,22.0,United States,2004,2004-08-29,Swimming,1,1,1,3
JodieHenry,20.0,Australia,2004,2004-08-29,Swimming,3,0,0,3
OtyliaJedrzejczak,20.0,Poland,2004,2004-08-29,Swimming,1,2,0,3
LeiselJones,18.0,Australia,2004,2004-08-29,Swimming,1,1,1,3
KosukeKitajima,21.0,Japan,2004,2004-08-29,Swimming,2,0,1,3
LaureManaudou,17.0,France,2004,2004-08-29,Swimming,1,1,1,3
AaronPeirsol,21.0,United States,2004,2004-08-29,Swimming,3,0,0,3
KaitlinSandeno,21.0,United States,2004,2004-08-29,Swimming,1,1,1,3
RolandSchoeman,24.0,South Africa,2004,2004-08-29,Swimming,1,1,1,3
PietervandenHoogenband,26.0,Netherlands,2004,2004-08-29,Swimming,1,2,0,3
ThereseAlshammar,23.0,Sweden,2000,2000-10-01,Swimming,0,2,1,3
YanaKlochkova,18.0,Ukraine,2000,2000-10-01,Swimming,2,1,0,3
LennyKrayzelburg,24.0,United States,2000,2000-10-01,Swimming,3,0,0,3
MassimilianoRosolino,22.0,Italy,2000,2000-10-01,Swimming,1,1,1,3
PetriaThomas,25.0,Australia,2000,2000-10-01,Swimming,0,2,1,3
MattWelsh,23.0,Australia,2000,2000-10-01,Swimming,0,2,1,3
LeeJeongSu,20.0,South Korea,2010,2010-02-28,Short-Track Speed Skating,2,1,0,3
ApoloAntonOhno,27.0,United States,2010,2010-02-28,Short-Track Speed Skating,0,1,2,3
WangMeng,24.0,China,2010,2010-02-28,Short-Track Speed Skating,3,0,0,3
JinSeonYu,17.0,South Korea,2006,2006-02-26,Short-Track Speed Skating,3,0,0,3
LeeHoSeok,19.0,South Korea,2006,2006-02-26,Short-Track Speed Skating,1,2,0,3
ApoloAntonOhno,23.0,United States,2006,2006-02-26,Short-Track Speed Skating,1,0,2,3
WangMeng,20.0,China,2006,2006-02-26,Short-Track Speed Skating,1,1,1,3
MarcGagnon,26.0,Canada,2002,2002-02-24,Short-Track Speed Skating,2,0,1,3
YangYangA,25.0,China,2002,2002-02-24,Short-Track Speed Skating,2,1,0,3
StephanieBeckert,21.0,Germany,2010,2010-02-28,Speed Skating,1,2,0,3
MartinaSblkov,22.0,Czech Republic,2010,2010-02-28,Speed Skating,2,0,1,3
EnricoFabris,24.0,Italy,2006,2006-02-26,Speed Skating,2,0,1,3
ChadHedrick,28.0,United States,2006,2006-02-26,Speed Skating,1,1,1,3
JochemUytdehaage,25.0,Netherlands,2002,2002-02-24,Speed Skating,2,1,0,3
SabineVlker,28.0,Germany,2002,2002-02-24,Speed Skating,0,2,1,3
GregorSchlierenzauer,20.0,Austria,2010,2010-02-28,Ski Jumping,1,0,2,3
LarsBystl,27.0,Norway,2006,2006-02-26,Ski Jumping,1,0,2,3
JohnnySpillane,29.0,United States,2010,2010-02-28,Nordic Combined,0,3,0,3
FelixGottwald,30.0,Austria,2006,2006-02-26,Nordic Combined,2,1,0,3
GeorgHettich,27.0,Germany,2006,2006-02-26,Nordic Combined,1,1,1,3
FelixGottwald,26.0,Austria,2002,2002-02-24,Nordic Combined,0,0,3,3
SamppaLajunen,22.0,Finland,2002,2002-02-24,Nordic Combined,3,0,0,3
AlyRaisman,18.0,United States,2012,2012-08-12,Gymnastics,2,0,1,3
KoheiUchimura,23.0,Japan,2012,2012-08-12,Gymnastics,1,2,0,3
ZouKai,24.0,China,2012,2012-08-12,Gymnastics,2,0,1,3
ChengFei,20.0,China,2008,2008-08-24,Gymnastics,1,0,2,3
YangWei,28.0,China,2008,2008-08-24,Gymnastics,2,1,0,3
YangYilin,15.0,China,2008,2008-08-24,Gymnastics,1,0,2,3
ZouKai,20.0,China,2008,2008-08-24,Gymnastics,3,0,0,3
MarianDragulescu,23.0,Romania,2004,2004-08-29,Gymnastics,0,1,2,3
PaulHamm,21.0,United States,2004,2004-08-29,Gymnastics,1,2,0,3
CarlyPatterson,16.0,United States,2004,2004-08-29,Gymnastics,1,2,0,3
CatalinaPonor,16.0,Romania,2004,2004-08-29,Gymnastics,3,0,0,3
SimonaAmnar,20.0,Romania,2000,2000-10-01,Gymnastics,2,0,1,3
SvetlanaKhorkina,21.0,Russia,2000,2000-10-01,Gymnastics,1,2,0,3
YekaterinaLobaznyuk,17.0,Russia,2000,2000-10-01,Gymnastics,0,2,1,3
YelenaZamolodchikova,17.0,Russia,2000,2000-10-01,Gymnastics,2,1,0,3
GuoShuang,26.0,China,2012,2012-08-12,Cycling,0,2,1,3
ChrisHoy,32.0,Great Britain,2008,2008-08-24,Cycling,3,0,0,3
BradleyWiggins,24.0,Great Britain,2004,2004-08-29,Cycling,1,1,1,3
FlorianRousseau,26.0,France,2000,2000-10-01,Cycling,2,1,0,3
JustynaKowalczyk,27.0,Poland,2010,2010-02-28,Cross Country Skiing,1,1,1,3
JohanOlsson,29.0,Sweden,2010,2010-02-28,Cross Country Skiing,1,0,2,3
StefaniaBelmondo,33.0,Italy,2002,2002-02-24,Cross Country Skiing,1,1,1,3
